기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,2회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-01-08,2024-05-20,720,60,59,59,46,67.0,58,86.5,55,69.5
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,3회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-08-12,2024-12-23,720,60,60,60,6개월이 안 지났거나 해당 정보 없음,67.0,59,79.7,50,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,4회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-11-29,2025-04-22,720,120,82,82,6개월이 안 지났거나 해당 정보 없음,67.0,60,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,8회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-23,2024-07-19,960,30,25,25,22,22.2,21,88,25,63.6
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,9회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-02-19,2024-08-23,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,22.2,25,100,23,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,10회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-04-02,2024-10-02,960,30,17,16,6개월이 안 지났거나 해당 정보 없음,22.2,30,81.3,13,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,11회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-07-23,2025-01-20,960,30,18,18,6개월이 안 지났거나 해당 정보 없음,22.2,16,93.9,7,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,12회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-07-23,2025-03-05,960,30,22,22,6개월이 안 지났거나 해당 정보 없음,22.2,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-23,2024-07-18,960,30,17,17,13,17.7,26,94.5,13,53.9
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-12,2024-09-06,960,30,18,18,6개월이 안 지났거나 해당 정보 없음,17.7,17,95.9,14,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-12,2024-09-12,960,30,22,22,6개월이 안 지났거나 해당 정보 없음,17.7,18,93.2,19,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-09,2024-10-08,960,30,17,17,6개월이 안 지났거나 해당 정보 없음,17.7,22,94,12,6개월이 안 지났거나 해당 정보 없음
